,Title,Published_date,Views,Month
28,Our Creative Relationship With AI Is Just Beginning | K Allado-McDowell | TED,9/11/23,31616,Sep
29,How to Take the BS Out of Business Speak | Bob Wiltfong | TED,9/8/23,54554,Sep
30,"Why You Should Stop Setting Goals (Yes, Really) | Emmanuel Acho | TED",9/7/23,91231,Sep
31,How to Hack Your Brain When You're in Pain | Amy Baxter | TED,9/6/23,243834,Sep
32,How “Digital Twins” Could Help Us Predict the Future | Karen Willcox | TED,9/5/23,44527,Sep
33,How Labor Unions Create Worker Power | How to Be a Better Human | TED,9/4/23,25317,Sep
34,The AI-Powered Tools Supercharging Your Imagination | Bilawal Sidhu | TED,9/1/23,61029,Sep
35,Why Rivals Are Working Together to Transform Shipping | Bo Cerup-Simonsen | TED,8/31/23,29629,Aug
36,The First-Ever Cargo Ship Powered By Green Fuel | Morten Bo Christiansen | TED,8/30/23,28613,Aug
37,"The Dream of Digital Ownership, Powered by the Metaverse | TED",8/29/23,188938,Aug
38,"The ""Adjacent Possible"" – and How It Explains Human Innovation | Stuart Kauffman | TED",8/28/23,39566,Aug
39,How AI Art Could Enhance Humanity’s Collective Memory | Refik Anadol | TED,8/25/23,73291,Aug
40,What’s It like to Be a Giant Sequoia Tree? | Ersin Han Ersin | TED,8/24/23,34039,Aug
41,The Molecular Love Story That Could Help Power the World | Olivia Breese | TED,8/23/23,41916,Aug
42,How to Meet Your Child's Difficult Behavior with Compassion | Yvonne Newbold | TED,8/21/23,54796,Aug
43,The Climate Crisis Is Expensive – Here’s Who Should Pay for It | Avinash Persaud | TED,8/18/23,62789,Aug
44,Why Real Change Is About More Than Just Going Viral | Taylor Cassidy | TED,8/17/23,36430,Aug
45,A Mysterious Design That Appears Across Millennia | Terry Moore | TED,8/16/23,1310659,Aug
46,Is the US Headed Towards Another Civil War? | Barbara F. Walter | TED,8/15/23,547014,Aug
47,The Magic of a Creative Career @TED #ted #shorts,8/14/23,48539,Aug
48,"""Say What!"" / ""Nervous"" | Tolliver | TED",8/14/23,28468,Aug
49,"In the Age of AI Art, What Can Originality Look Like? | Eileen Isagon Skyers | TED",8/11/23,59788,Aug
50,How Targeted Ads Might Just Save Your Life | Sandersan Onie | TED,8/10/23,29209,Aug
51,What Makes a “Good College” – And Why It Matters @TED #ted #shorts,8/9/23,49397,Aug
52,A Case for Color Blindness | Coleman Hughes | TED,8/9/23,224954,Aug
53,The Beauty of Building With Mud and Trash | Vinu Daniel | TED,8/8/23,82431,Aug
54,What the Fossil Fuel Industry Doesn't Want You To Know | Al Gore | TED,8/7/23,555997,Aug
55,The Magic of a Creative Career | Michael Sheen | TED,8/4/23,133561,Aug
56,Climate Action Is on the Cusp of Exponential Growth | Simon Stiell | TED,8/3/23,39578,Aug
57,Why I Built My Own Time Machine | Lucas Rizzotto | TED,8/2/23,38147,Aug
58,The Power of an Image – and the Mind behind It | Misan Harriman | TED,8/1/23,41987,Aug
59,Blindness Isn't a Tragic Binary — It's a Rich Spectrum | Andrew Leland | TED,7/28/23,38904,Jul
60,Can Global Food Companies Make the Shift to Regenerative Agriculture? | Steve Presley | TED,7/27/23,36500,Jul
61,How to Make Sure Materials Get Reused -- Again and Again | Garry Cooper | TED,7/26/23,36965,Jul
62,Why Change Is So Scary -- and How to Unlock Its Potential | Maya Shankar | TED,7/25/23,218034,Jul
63,The Tree-Growing Movement Restoring Africa’s Vital Landscapes | Wanjira Mathai | TED,7/24/23,29447,Jul
64,The Growing Megafire Crisis -- and How to Contain It | George T. Whitesides | TED,7/21/23,54720,Jul
65,How to Be a Leader for Climate Justice | David Lammy and Justin J. Pearson | TED,7/20/23,25946,Jul
66,Is Remote Work Better Than Being in the Office? It's Complicated | Mark Mortensen | TED,7/19/23,85142,Jul
67,Could an Orca Give a TED Talk? | Karen Bakker | TED,7/18/23,102123,Jul
68,Why Are We Making Pizza Boxes Out of Endangered Trees? | Nicole Rycroft | TED,7/17/23,37777,Jul
69,Detroit's Climate Crisis — and How to Build a Resilient Future Everywhere | Anika Goss | TED,7/14/23,37190,Jul
70,The Renewable Energy Revolution Happening in Ukraine | Maxim Timchenko | TED,7/13/23,52902,Jul
71,Everyone Can Participate in Building the Metaverse PT 2 @TED #ted #shorts,7/12/23,50393,Jul
72,Will Superintelligent AI End the World? | Eliezer Yudkowsky | TED,7/11/23,199248,Jul
73,"War, AI and the New Global Arms Race | Alexandr Wang | TED",7/10/23,131321,Jul
74,School Is Just the Start. Here's How to Help Girls Succeed for Life | Angeline Murimirwa | TED,7/7/23,57684,Jul
75,Why Thinking About Death Helps You Live a Better Life | Alua Arthur | TED,7/6/23,127350,Jul
76,How Life on Earth Adapts to You and Me | Shane Campbell-Staton | TED,7/5/23,45956,Jul
77,The Anti-CEO Playbook @TED #ted #shorts,7/5/23,49635,Jul
78,How Your Company Can Gain a Global Talent Advantage | Johann Daniel Harnoss | TED,7/4/23,35678,Jul
79,How to Unleash Your Inner Maximalist Through Costume | Machine Dazzle | TED,7/3/23,27692,Jul
80,"Why Iranians Are Cutting Their Hair for ""Woman, Life, Freedom"" | Sahar Zand | TED",6/30/23,55343,Jun
81,A Powerful New Neurotech Tool for Augmenting Your Mind | Conor Russomanno | TED,6/29/23,322678,Jun
82,How to Fund Real Change in Your Community | Rebecca Darwent | TED,6/28/23,35432,Jun
83,"Nature, Art and Magical Blocks of Flying Concrete @TED #tedtalks #shorts",6/28/23,54646,Jun
84,"Kung Fu, Star Trek and the Many Paths to Spirituality | Rainn Wilson | TED",6/27/23,35733,Jun
85,A 3-Step Guide to Believing in Yourself | Sheryl Lee Ralph | TED,6/26/23,506632,Jun
86,What Reading Slowly Taught Me About Writing @TED #ted #shorts,6/23/23,63411,Jun
87,Why Are We So Bad at Reporting Good News? | Angus Hervey | TED,6/23/23,70090,Jun
88,How to Weave a Cultural Legacy Through Storytelling | Cohen Bradley | TED,6/22/23,27082,Jun
89,One Second Every Day @TED #ted #shorts,6/21/23,51778,Jun
90,How to Solve the Education Crisis for Boys and Men | Richard Reeves | TED,6/21/23,82325,Jun
91,"Can We Recreate the Voice of a 3,000-Year-Old Mummy? | David M. Howard | TED",6/20/23,36306,Jun
92,"""STILL C U"" / ""Figures"" | Jessie Reyez | TED",6/15/23,65605,Jun
93,The Next Global Superpower Isn't Who You Think | Ian Bremmer | TED,6/14/23,5086467,Jun
94,Can We Learn To Talk to Sperm Whales? @TED #ted #shorts,6/14/23,61698,Jun
95,Why Is It So Hard to Get Effective Birth Control in the US? | Mark Edwards | TED,6/13/23,38955,Jun
96,The Natural Building Blocks of Sustainable Architecture | Michael Green | TED,6/13/23,45157,Jun
97,A Guerrilla Gardener in South Central LA @TED #ted #shorts,6/9/23,50503,Jun
98,How to Design a School for the Future | Punya Mishra | TED,6/9/23,60132,Jun
99,The Outlaws of the Ocean – and How We're Reeling Them In | Tony Long | TED,6/8/23,38028,Jun
100,"Nature, Art and Magical Blocks of Flying Concrete | Lonneke Gordijn | TED",6/7/23,233783,Jun
101,The Nostalgia Behind Your Favorite Chinese Food @TED #ted #shorts,6/7/23,64006,Jun
102,How Wireless Energy From Space Could Power Everything | Ali Hajimiri | TED,6/6/23,220123,Jun
103,How AI Could Save (Not Destroy) Education @TED #ted #shorts,6/5/23,47300,Jun
104,The Dinosaur Detectives of Real-Life Jurassic Parks | Martin Lockley | TED,6/5/23,33194,Jun
105,How the Octopus Changes Its Color @TED #ted #shorts,6/2/23,49165,Jun
106,The Poetry of Everyday Language | Julián Delgado Lopera | TED,6/1/23,55071,Jun
107,5 Steps to Fix Any Problem at Work | Anne Morriss | TED,5/31/23,214781,May
108,"When Workers Own Companies, the Economy Is More Resilient @TED #ted #shorts",5/31/23,37527,May
109,Your Right to Mental Privacy in the Age of Brain-Sensing Tech | Nita Farahany | TED,5/30/23,51438,May
110,How To Design Mosquitoes Out of Cities @TED #ted #shorts,5/26/23,48852,May
111,Are Life-Saving Medicines Hiding in the World’s Coldest Places? | Normand Voyer | TED,5/26/23,47612,May
112,"What Makes a ""Good College"" – and Why It Matters | Cecilia M. Orphan | TED",5/25/23,74200,May
113,What To Do When There’s a Polar Bear in Your Backyard,5/24/23,50247,May
114,A Foster Care System Where Every Child Has a Loving Home | Sixto Cancel | TED,5/24/23,31080,May
115,Is Someone You Love Suffering in Silence? Here's What To Do | Gus Worland | TED,5/23/23,42475,May
116,"The Timeless, Ancient Language of Art | Wangechi Mutu | TED",5/22/23,50149,May
117,"To Get Ahead at Work, Get a Sponsor @TED  #ted #shorts",5/19/23,50595,May
118,The Incredible Creativity of Deepfakes — and the Worrying Future of AI | Tom Graham | TED,5/19/23,94818,May
119,3 Ways Your Money Can Fight Climate Change | Veronica Chau | TED,5/18/23,54280,May
120,Why We Need To Laugh More Every Day @TED #ted #shorts,5/17/23,56012,May
121,Lessons from Losing My Mind | Andy Dunn | TED,5/17/23,100199,May
122,Does Working Hard Really Make You a Good Person? | Azim Shariff | TED,5/16/23,305292,May
123,How to Feng Shui Your Fridge – And Other Happy Climate Hacks @TED #ted #shorts,5/15/23,34704,May
124,What the World Can Learn From China’s Innovation Playbook | Keyu Jin | TED,5/15/23,268792,May
125,The Urgent Risks of Runaway AI – and What to Do about Them | Gary Marcus | TED,5/12/23,182934,May
126,"Ancient Pompeii’s Hidden Messages, Preserved in Graffiti @TED #ted #shorts",5/12/23,37539,May
127,4 Ways to Have Healthy Conversations About Race | Afrika Afeni Mills | TED,5/11/23,42092,May
128,"How ""Second Chance"" Laws Could Transform the US Justice System | Sheena Meade | TED",5/10/23,31198,May
129,How To Get Back Up After You Fall — From an Olympic Gymnast @TED #ted  #shorts,5/10/23,40836,May
130,The Disappearing Computer: An Exclusive Preview of Humane’s Screenless Tech | Imran Chaudhri | TED,5/9/23,1381488,May
131,How Poetry Unlocked My Superpowers | Keenan Scott II | TED,5/8/23,41258,May
132,Pussy Riot’s Powerful Message to Vladimir Putin @TED #ted #shorts,5/5/23,65633,May
133,"""Woman, Life, Freedom"" in Iran – and What It Means for the Rest of the World | Golshifteh Farahani",5/5/23,62480,May
134,3 Money Lessons from Infamous Scam Artists | J Mase III | TED,5/4/23,59729,May
135,Why You Should Make Useless Things Pt. 2 @TED #ted #shorts,5/3/23,68478,May
136,The Story That Shapes Your Relationship with Nature | Damon Gameau | TED,5/3/23,50925,May
137,"The Rise of the ""Trauma Essay"" in College Applications | Tina Yong | TED",5/2/23,954534,May
138,Why We Choke Under Pressure – And How To Avoid It @TED #ted #shorts,5/1/23,64095,May
139,How AI Could Save (Not Destroy) Education | Sal Khan | TED,5/1/23,1134643,May
140,Could Fungi Actually Be the Key to Humanity’s Survival?,4/28/23,51286,Apr
141,Why AI Is Incredibly Smart and Shockingly Stupid | Yejin Choi | TED,4/28/23,342594,Apr
142,How Modern Audiences Can Talk about Aging Art | Margaret Hall | TED,4/27/23,25720,Apr
143,How I’m Fighting Bias in Algorithms @TED #ted #shorts,4/26/23,32380,Apr
144,Pussy Riot's Powerful Message to Vladimir Putin | Nadya Tolokonnikova | TED,4/26/23,410116,Apr
145,"Mangroves, Storm Walls and Other Ways to Protect Coasts from Climate Change | Dave Sivaprasad | TED",4/25/23,22847,Apr
146,How Video Games Can Level Up the Way You Learn @TED #ted #shorts,4/24/23,39373,Apr
147,"Why Your Life Needs Novelty, No Matter Your Age | Kenneth Chabert | TED",4/24/23,60721,Apr
148,How to Feng Shui Your Fridge – and Other Happy Climate Hacks | Jiaying Zhao | TED,4/22/23,41819,Apr
149,The Habit That Could Improve Your Career @TED #ted #shorts,4/21/23,50450,Apr
150,TikTok CEO Shou Chew on Its Future — and What Makes Its Algorithm Different | Live at TED2023,4/21/23,741636,Apr
151,The Inside Story of ChatGPT’s Astonishing Potential | Greg Brockman | TED,4/20/23,1691619,Apr
152,Why a Woman’s Choice To Not Be a Mother Shouldn’t Define Her @TED #ted #shorts,4/19/23,53241,Apr
153,"How to Help Employees With Disabilities Thrive | The Way We Work, a TED series",4/19/23,52466,Apr
154,Tom Graham (Metaphysic AI) at TED2023 [Interview Clip],4/19/23,43907,Apr
155,The Dazzling Diversity of African Dance – in 14 Moves | Chinyanta Kabaso | TED,4/18/23,64058,Apr
156,What Capitalism Gets Right – And Governments Get Wrong @TED #ted #shorts,4/17/23,47916,Apr
157,What to Do When There's a Polar Bear in Your Backyard | Alysa McCall | TED,4/17/23,34705,Apr
158,A Celebration of Natural Hair @TED #ted #shorts,4/14/23,51565,Apr
159,Are You an Ethical True Crime Fan? 4 Questions To Ask | Lindsey A. Sherrill | TED,4/14/23,35198,Apr
160,Where Imagination Takes You,4/13/23,9,Apr
161,Hope,4/13/23,10,Apr
162,Utopias,4/13/23,8,Apr
163,Presence,4/13/23,7,Apr
164,Flow,4/13/23,7,Apr
165,Playfulness,4/13/23,9,Apr
166,Research,4/13/23,16,Apr
167,Curiosity,4/13/23,12,Apr
168,Inspiration,4/13/23,12,Apr
169,Failure,4/13/23,13,Apr
170,What Is Imagination,4/13/23,35,Apr
171,Childhood,4/13/23,27,Apr
172,How to nurture your imagination with Charlie Jane Anders And Wanuri Kahiu,4/13/23,12794,Apr
173,How To Build for Human Life on Mars @TED #ted #shorts,4/12/23,57956,Apr
174,"4 Ways to Make Hybrid Work Better for Everyone | The Way We Work, a TED series",4/12/23,56659,Apr
175,What Will the Dream Car of the Future Be Like? | Alex Koster | TED,4/11/23,40831,Apr
176,Why I’m a Weekday Vegetarian @TED #ted #shorts,4/10/23,49464,Apr
177,A Faster Way to Get to a Clean Energy Future | Ramez Naam | TED,4/10/23,100622,Apr
178,Rebellion,4/7/23,8,Apr
179,Makeover Illusion,4/7/23,8,Apr
180,Empathy,4/7/23,7,Apr
181,Shame,4/7/23,6,Apr
182,Trolls,4/7/23,9,Apr
183,Dance,4/7/23,7,Apr
184,Hopes,4/7/23,9,Apr
185,How to connect in a divided world with Dylan Marron,4/7/23,12565,Apr
186,How Drawing Can Set You Free @TED #ted #shorts,4/7/23,44885,Apr
187,Why Autism Is Often Missed in Women and Girls | Kate Kahle | TED,4/7/23,59347,Apr
188,"5 Steps to Building a Personal Brand You Feel Good About | The Way We Work, a TED series",4/5/23,133549,Apr
189,How to slow down with Carl Honoré,4/4/23,16534,Apr
190,Running,4/4/23,22,Apr
191,Slow,4/4/23,21,Apr
192,Timekeeping,4/4/23,20,Apr
193,Connect,4/4/23,17,Apr
194,Family,4/4/23,15,Apr
195,Romance,4/4/23,11,Apr
196,Work,4/4/23,14,Apr
197,Slow Work,4/4/23,13,Apr
198,Slow Thinking,4/4/23,11,Apr
199,Slow Spaces,4/4/23,10,Apr
200,Leisure,4/4/23,10,Apr
201,Slow for Others,4/4/23,10,Apr
202,Finish,4/4/23,10,Apr
203,"How to Get Inside the ""Brain"" of AI | Alona Fyshe | TED",4/3/23,56606,Apr
204,Origami Robots That Reshape and Transform Themselves @TED #ted #shorts,3/31/23,67892,Mar
205,Why All Dogs Are Good Dogs | Alexandra Horowitz | TED,3/31/23,62730,Mar
206,How to take a life-changing journey with Pico Iyer,3/30/23,17504,Mar
207,Layover,3/30/23,27,Mar
208,Why We Travel,3/30/23,29,Mar
209,LAX,3/30/23,21,Mar
210,Close and Far,3/30/23,21,Mar
211,Northern Lights,3/30/23,18,Mar
212,In Advance,3/30/23,19,Mar
213,Bhutan,3/30/23,13,Mar
214,Deepening the Transport,3/30/23,12,Mar
215,Quantity and Quality,3/30/23,12,Mar
216,Inner Journey,3/30/23,9,Mar
217,Upended,3/30/23,10,Mar
218,Same Same but Different,3/30/23,10,Mar
219,Story Time,3/30/23,11,Mar
220,Remaking a Life,3/30/23,9,Mar
221,[Trailer] TED Countdown Dilemma Series: How do we get the world off fossil fuels?,3/29/23,6303,Mar
222,How Dance Can Unleash Your Inner Joy @TED #ted #shorts,3/29/23,50251,Mar
223,"The Unexpected Key to Boosting Your Productivity | The Way We Work, a TED series",3/29/23,108877,Mar
224,How to master life transitions with Bruce Feiler,3/28/23,21304,Mar
225,Linear,3/28/23,35,Mar
226,Lifequakes,3/28/23,19,Mar
227,Master,3/28/23,14,Mar
228,Rites,3/28/23,17,Mar
229,Superpower,3/28/23,14,Mar
230,Accept,3/28/23,15,Mar
231,Mark,3/28/23,12,Mar
232,Desert,3/28/23,10,Mar
233,Shed,3/28/23,12,Mar
234,Create,3/28/23,11,Mar
235,Share,3/28/23,10,Mar
236,Author,3/28/23,8,Mar
237,Meaning,3/28/23,8,Mar
238,Launch,3/28/23,9,Mar
239,Tell,3/28/23,8,Mar
240,How To Do Laundry When You’re Depressed @TED #ted #shorts,3/27/23,66036,Mar
241,How Do We Get the World Off Fossil Fuels Quickly and Fairly? | TED Countdown Dilemma Series,3/27/23,27429,Mar
242,How to boost your brain and memory with Lisa Genova,3/24/23,32420,Mar
243,Rethinking Memory,3/24/23,24,Mar
244,Stay Engaged,3/24/23,20,Mar
245,Memory Palace,3/24/23,17,Mar
246,Normal Forgetting,3/24/23,24,Mar
247,Sleep,3/24/23,24,Mar
248,Context Matters,3/24/23,23,Mar
249,Prospective Memory,3/24/23,20,Mar
250,Muscle Memory,3/24/23,22,Mar
251,Manage Stress,3/24/23,33,Mar
252,Make It Personal,3/24/23,27,Mar
253,Episodic Memory,3/24/23,37,Mar
254,Attach Meaning,3/24/23,36,Mar
255,Semantic Memory,3/24/23,38,Mar
256,Brain Healthy Food,3/24/23,45,Mar
257,Pay Attention,3/24/23,44,Mar
258,Working Memory,3/24/23,41,Mar
259,How Memories Are Made,3/24/23,73,Mar
260,Is Democracy Doomed? The Global Fight for Our Future,3/24/23,30378,Mar
261,How to Keep Your Hometown from Becoming a Ghost Town | John Paget | TED,3/24/23,37444,Mar
262,What Happens to Gas Stations When the World Goes Electric? | Emily Grubert | TED,3/23/23,42520,Mar
263,Could You Recover From Illness … Using Your Own Stem Cells? @TED #ted #shorts,3/22/23,47026,Mar
264,"How to Calm Your Anxiety, From a Neuroscientist | The Way We Work, a TED series",3/22/23,253043,Mar
265,3 Skills Every Middle School Boy Needs | Jerome Hunter | TED,3/21/23,41660,Mar
266,An Indigenous Perspective on Humanity’s Survival on Earth @TED #shorts #ted,3/20/23,28812,Mar
267,The Surprising Psychology Behind Your Urge to Break the Rules | Paul Bloom | TED,3/20/23,81454,Mar
268,Who Owns the Internet of the Future? | Ordinary Things | TED,3/17/23,60126,Mar
269,The Search for the Invisible Matter That Shapes the Universe @TED #shorts  #ted,3/17/23,36466,Mar
270,3 Elements of True Fun – and How to Have More of It | Catherine Price | TED,3/16/23,47269,Mar
271,3 Steps of Anxiety Overload – And How You Can Take Back Control @TED #shorts #ted,3/15/23,43804,Mar
272,"Your 3-Step Guide to Setting Better Boundaries at Work |  The Way We Work, a TED series",3/15/23,57557,Mar
273,What Will Future Astronauts Eat? | Phnam Bagley | TED,3/14/23,25908,Mar
274,How Ethics Can Help You Make Better Decisions @TED #shorts #ted,3/13/23,36783,Mar
275,The Clean Energy Hub of the Future | Rebekah Shirley | TED,3/13/23,30341,Mar
276,How Video Games Can Level Up the Way You Learn | Kris Alexander | TED,3/10/23,78213,Mar
277,The Fantastically Weird World of Photosynthetic Sea Slugs | Michael Middlebrooks | TED,3/9/23,178880,Mar
278,"Teach Girls Bravery, Not Perfection",3/8/23,59853,Mar
279,"How to Be a Team Player – Without Burning Out | The Way We Work, a TED series",3/8/23,62720,Mar
280,What Women Athletes Need to Unlock Their Full Potential | Kate Ackerman | TED,3/7/23,34669,Mar
281,"5 Parenting Tips for Raising Resilient, Self-Reliant Kids @TED #shorts #ted",3/6/23,37671,Mar
282,How One Small Idea Led to $1 Million of Paid Water Bills | Tiffani Ashley Bell | TED,3/6/23,35592,Mar
283,How the Magic of Kindness Helped Me Survive the Holocaust @TED #shorts #ted,3/3/23,42052,Mar
284,What Do Insects Do When Nature Calls? | Saad Bhamla | TED,3/3/23,36600,Mar
285,"Ancient Pompeii’s Hidden Messages, Preserved in Graffiti | Jacqueline DiBiasie-Sammons | TED",3/2/23,44216,Mar
286,How Your Emotions Change the Shape of Your Heart @TED #shorts #ted,3/1/23,54081,Mar
287,"How to Quit Your Job -- Without Ruining Your Career | The Way We Work, a TED series",3/1/23,78610,Mar
288,The Surprising Climate Benefits of Sharing Your Stuff | Tessa Clarke | TED,2/28/23,39115,Feb
289,Re-Imagine the Future @TED #shorts #ted,2/27/23,30539,Feb
290,4 Proven Ways to Kick Your Procrastination Habit | Ayelet Fishbach | TED,2/27/23,68342,Feb
291,Why Language Is Humanity’s Greatest Invention @TED @TEDx #shorts #tedxtalks,2/24/23,50080,Feb
292,The Massive Machines Removing Carbon from Earth's Atmosphere | Jan Wurzbacher | TED,2/24/23,90421,Feb
293,"The Truth About ""The Zone"" (with Steph Curry) | Good Sport, a TED Audio Collective",2/22/23,34059,Feb
294,3 Steps To Help Kids Process Traumatic Events | Kristen Nguyen | TED,2/21/23,47376,Feb
295,How Flags Unite and Divide Us @TED @TEDx #shorts #tedxtalks,2/17/23,47810,Feb
296,How Everyday Interactions Shape Your Future | Mesmin Destin | TED,2/17/23,133219,Feb
297,What If Buildings Created Energy Instead of Consuming It? | Ksenia Petrichenko | TED,2/16/23,71827,Feb
298,Let’s Get Honest About Our Money Problem @TED @TEDx #shorts #tedxtalks,2/15/23,36605,Feb
299,5 Values for Repairing the Harms of Colonialism | Jing Corpuz | TED,2/15/23,30152,Feb
300,3 Steps of Anxiety Overload – and How You Can Take Back Control | Lisa Damour | TED,2/14/23,70666,Feb
301,The Keys to a Healthier Sex Life @TED @TEDx #shorts #tedxtalks,2/13/23,60947,Feb
302,The Nostalgia Behind Your Favorite Chinese Food | Vincent Yeow Lim | TED,2/13/23,44800,Feb
303,A Mother and Son’s Photographic Journey Through Dementia @TED @TEDx #shorts #tedxtalks,2/10/23,42396,Feb
304,A For-Profit Mindset for Nonprofit Success | Tolu Oyekan | TED,2/10/23,41630,Feb
305,How to Participate in Your Own Legal Defense | Lam Ho | TED,2/9/23,35771,Feb
306,4 Questions You Should Always Ask Your Doctor @TED @TEDx #shorts #tedxtalks,2/8/23,50911,Feb
307,Is Democracy Doomed? The Global Fight for Our Future | Timothy Snyder | TED,2/8/23,148453,Feb
308,How to Recognize Privilege — and Uplift Those Without It | Mariam Veiszadeh | TED,2/7/23,46313,Feb
309,Why Autism Is Under-Diagnosed in Women @TED @TEDx #shorts #tedtalks,2/6/23,50351,Feb
310,Could Fungi Actually Be the Key to Humanity’s Survival? | David Andrew Quist | TED,2/6/23,58840,Feb
311,The Best Career Path Isn’t Always a Straight Line @TED @TEDx #shorts #tedxtalks,2/3/23,42879,Feb
312,The Secret to Making New Friends as an Adult | Marisa G. Franco | TED,2/3/23,107687,Feb
313,How Black Queer Culture Shaped History | Channing Gerard Joseph | TED,2/2/23,40006,Feb
314,The Fairy Tales of the Fossil Fuel Industry – and a Better Climate Story | Luisa Neubauer | TED,2/1/23,150692,Feb
315,"On Art, Ideas and Building Community @TED @TEDx #shorts #tedxtalk",2/1/23,21553,Feb
316,The Sustainable Brilliance of Indigenous Design | Manu Peni | TED,1/31/23,31368,Jan
317,How Nature Can Shape Leadership @TED @TEDx #shorts #tedxtalk,1/30/23,30754,Jan
318,"The Ecstasy of Eskista, an Ancient Ethiopian Dance | Melaku Belay | TED",1/30/23,43177,Jan
319,Hidden Connections That Transcend Borders and Defy Stereotypes | Aparna Bharadwaj | TED,1/28/23,43579,Jan
320,The Art of Creativity @TED @TEDx #shorts #tedxtalk,1/27/23,40343,Jan
321,"7 New Species of Robot That Jump, Dance – and Walk on Water | Dennis Hong | TED",1/27/23,76110,Jan
322,A Socialist Perspective on the Pursuit of Happiness | Aaron Bastani | TED,1/26/23,75942,Jan
323,An ER Doctor on Triaging Your Busy Life @TED @TEDx #shorts #tedxtalk,1/25/23,54268,Jan
324,The One Question Every Aspiring Leader Needs To Ask | Constance Hockaday | TED,1/25/23,49918,Jan
325,How to Harness the Ancient Partnership between Forests and Fungi | Colin Averill | TED,1/24/23,33940,Jan
326,Where Does Your Sense of Self Come From? A Scientific Look | Anil Ananthaswamy | TED,1/23/23,83085,Jan
327,All It Takes Is 10 Mindful Minutes @TED #shorts,1/20/23,49925,Jan
328,Why Nurses Are Key to Medical Innovation | Ben Gran | TED,1/20/23,52730,Jan
329,Can We Feed Ourselves without Devouring the Planet? | George Monbiot | TED,1/19/23,57241,Jan
330,What You Can Learn From People Who Disagree With You @TED  #shorts,1/18/23,52983,Jan
331,The Habit That Could Improve Your Career | Paul Catchlove | TED,1/18/23,391515,Jan
332,The Internet's Accessibility Problem — and How To Fix It | Clive Loseby | TED,1/17/23,39378,Jan
333,How Bad Data Traps People in the US Justice System | Clementine Jacoby | TED,1/16/23,42252,Jan
334,How to Design Climate-Resilient Buildings | Alyssa-Amor Gibbons | TED,1/13/23,40485,Jan
335,[Trailer] TED Countdown Dilemma Series: Is there a role for carbon credits in a net zero future?,1/12/23,6065,Jan
336,What the Discovery of Exoplanets Reveals About the Universe | Jessie Christiansen | TED,1/12/23,42507,Jan
337,What to Do When Climate Change Feels Unstoppable @TED #shorts,1/11/23,50864,Jan
